Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
Graduate,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,627,35,31,Alone,1,2,1
Postgraduate,69674.0,0,2,46,554,41,215,11,0,24,3,10,2,10,5,403,46,845,Alone,2,3,1
Postgraduate,44159.0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,12,44,275,Partner,1,3,1
Postgraduate,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,583,36,25,Partner,1,3,1
Postgraduate,43776.0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,511,62,275,Partner,2,4,1
Postgraduate,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,472,48,90,Partner,2,4,1
Graduate,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,3,51,1495,Partner,0,2,0
Postgraduate,38097.0,1,1,70,77,2,35,0,1,69,4,3,2,2,7,622,44,184,Partner,2,4,1
Graduate,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,375,44,981,Partner,0,2,0
Graduate,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,268,44,67,Partner,1,3,1
Graduate,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,7,645,61,1635,Alone,0,1,0
Postgraduate,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,101,31,60,Alone,1,2,1
Postgraduate,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,145,39,231,Partner,1,3,1
Graduate,29315.0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,84,54,48,Partner,2,4,1
Graduate,33378.0,1,1,38,33,6,40,3,7,10,3,2,0,4,7,508,51,99,Alone,2,3,1
Postgraduate,66313.0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,286,51,770,Partner,1,3,1
Graduate,60714.0,0,0,56,216,162,224,101,92,162,2,7,4,10,5,528,58,957,Alone,0,1,0
Postgraduate,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,60,33,818,Partner,0,2,0
Postgraduate,69867.0,0,0,30,196,0,512,33,130,54,1,3,5,8,1,453,28,925,Alone,0,1,0
Postgraduate,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,434,46,908,Alone,1,2,1
Undergraduate,24480.0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,503,33,102,Partner,1,3,1
Graduate,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,612,38,576,Partner,1,3,1
Graduate,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,667,68,317,Partner,0,2,0
Postgraduate,65640.0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,120,40,461,Partner,1,3,1
Postgraduate,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,73,39,37,Partner,2,4,1
Graduate,30631.0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,352,40,70,Partner,1,3,1
Graduate,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,516,62,930,Partner,0,2,0
Postgraduate,50898.0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,537,58,859,Partner,2,4,1
Graduate,79946.0,0,0,19,395,183,565,166,141,28,1,5,11,5,3,48,48,1478,Alone,0,1,0
Postgraduate,35416.0,0,0,62,248,3,81,4,3,51,3,7,1,5,8,381,65,390,Alone,0,1,0
Undergraduate,32414.0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,360,30,52,Partner,0,2,0
Graduate,38361.0,1,0,74,39,0,56,20,8,14,3,3,1,3,7,184,45,137,Partner,1,3,1
Graduate,82497.0,0,0,32,777,129,573,216,21,203,1,2,7,9,4,606,34,1919,Partner,0,2,0
Graduate,16626.0,2,0,76,8,3,22,21,1,13,3,3,0,3,9,165,43,68,Partner,2,4,1
Graduate,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,474,49,25,Partner,2,4,1
Postgraduate,55951.0,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,675,62,1374,Partner,1,3,1
Undergraduate,35388.0,1,0,20,6,4,7,4,3,8,1,1,0,3,7,479,26,32,Alone,1,2,1
Postgraduate,42386.0,1,0,43,65,4,16,0,4,11,1,3,0,3,8,532,28,100,Partner,1,3,1
Graduate,68627.0,0,0,45,395,15,263,60,54,38,1,2,3,6,1,533,32,825,Alone,0,1,0
Postgraduate,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,104,49,916,Alone,1,2,1
Graduate,35246.0,1,1,53,36,0,12,2,2,10,4,3,1,3,5,74,56,62,Alone,2,3,1
Undergraduate,58821.0,0,1,44,513,14,154,19,0,28,1,9,2,9,6,260,58,728,Partner,1,3,1
Postgraduate,46377.0,1,0,89,37,0,46,4,3,0,1,2,1,3,4,120,36,90,Partner,1,3,1
Graduate,39747.0,1,0,43,80,15,93,20,13,52,3,5,1,4,8,77,26,273,Alone,1,2,1
Graduate,23976.0,1,0,68,14,1,21,2,3,25,3,3,1,3,7,184,30,66,Partner,1,3,1
Postgraduate,80950.0,0,0,44,525,147,112,219,147,63,1,6,7,9,2,458,53,1213,Partner,0,2,0
Graduate,27038.0,0,0,64,1,26,25,17,23,15,1,3,0,3,9,649,48,107,Alone,0,1,0
Graduate,77457.0,0,0,85,675,11,400,15,45,11,1,2,5,10,1,116,67,1157,Alone,0,1,0
Postgraduate,64100.0,0,1,93,509,0,27,0,0,10,1,8,3,6,7,292,50,546,Partner,1,3,1
Postgraduate,42670.0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,428,22,241,Partner,0,2,0
Graduate,12571.0,1,0,86,3,5,14,2,12,17,4,3,1,3,6,162,38,53,Alone,1,2,1
Graduate,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,244,47,37,Partner,3,5,1
Postgraduate,70893.0,0,0,42,768,44,561,77,44,14,1,6,6,10,3,508,38,1508,Alone,0,1,0
Graduate,54198.0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,194,48,235,Partner,2,4,1
Postgraduate,28839.0,1,1,86,24,0,7,0,0,1,2,2,0,3,5,110,58,32,Partner,2,4,1
Graduate,40321.0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,335,42,102,Partner,2,4,1
Graduate,66503.0,1,0,30,91,64,128,65,3,50,2,4,3,6,3,684,29,401,Alone,1,2,1
Graduate,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,348,63,28,Partner,2,4,1
Graduate,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,528,43,680,Partner,1,3,1
Graduate,34421.0,1,0,81,3,3,7,6,2,9,1,1,0,2,7,363,40,30,Partner,1,3,1
Postgraduate,47025.0,1,1,6,16,0,3,0,0,1,1,1,0,2,7,140,49,20,Alone,2,3,1
Postgraduate,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,507,53,1307,Alone,1,2,1
Graduate,40464.0,0,1,78,424,17,118,7,23,41,6,8,2,8,8,534,61,630,Alone,1,2,1
Graduate,62187.0,0,0,49,792,0,275,45,45,126,1,4,8,5,3,359,57,1283,Partner,0,2,0
Postgraduate,14849.0,1,0,39,21,2,28,3,2,9,3,2,0,4,8,362,38,65,Alone,1,2,1
Graduate,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,234,30,37,Partner,1,3,1
Postgraduate,54432.0,2,1,37,33,0,5,0,0,0,1,1,0,3,4,416,64,38,Partner,3,5,1
Postgraduate,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,501,28,160,Alone,1,2,1
Graduate,24072.0,1,0,79,9,1,6,3,0,4,1,1,0,2,8,439,31,23,Alone,1,2,1
Postgraduate,33996.0,0,0,46,40,2,15,8,0,6,1,1,1,3,4,291,25,71,Alone,0,1,0
Postgraduate,66334.0,0,1,82,909,11,218,0,0,23,2,9,3,5,5,452,58,1161,Partner,1,3,1
Postgraduate,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,535,43,59,Partner,1,3,1
Graduate,22010.0,1,0,51,11,2,9,3,0,8,2,2,0,3,8,364,31,33,Partner,1,3,1
Graduate,62204.0,0,2,38,317,46,247,151,46,139,1,4,5,12,3,655,54,946,Alone,2,3,1
Graduate,75693.0,0,0,10,797,153,293,72,97,30,1,11,4,6,4,570,46,1442,Alone,0,1,0
Graduate,30675.0,1,0,14,10,2,16,11,2,21,1,1,0,3,8,594,42,62,Partner,1,3,1
Graduate,83003.0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,483,49,1674,Partner,0,2,0
Graduate,68655.0,0,0,95,456,19,832,75,118,38,1,4,5,11,3,688,26,1538,Alone,0,1,0
Graduate,41411.0,0,0,11,37,32,38,11,3,18,1,2,1,4,6,204,28,139,Alone,0,1,0
Postgraduate,55212.0,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,583,45,1182,Partner,1,3,1
Postgraduate,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,381,64,507,Partner,1,3,1
Undergraduate,27190.0,1,0,13,1,6,7,0,1,3,1,1,0,2,8,318,41,18,Partner,1,3,1
Graduate,82623.0,0,0,58,204,34,204,172,153,173,1,2,9,4,1,231,62,940,Alone,0,1,0
Graduate,44300.0,1,1,65,30,0,9,0,0,3,2,1,0,3,6,371,49,42,Partner,2,4,1
Graduate,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,13,44,1190,Alone,0,1,0
Graduate,30372.0,1,1,33,15,0,12,7,3,7,3,2,0,3,7,551,43,44,Alone,2,3,1
Postgraduate,33181.0,1,0,90,9,0,3,0,0,4,1,1,0,2,6,177,38,16,Partner,1,3,1
Graduate,71113.0,0,1,95,495,33,255,11,33,8,4,6,7,9,4,194,57,835,Partner,1,3,1
Graduate,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,535,28,1443,Partner,1,3,1
Postgraduate,69759.0,0,0,38,452,20,514,13,30,0,3,4,6,5,3,244,48,1029,Alone,0,1,0
Graduate,72099.0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,610,40,1188,Partner,0,2,0
Postgraduate,60000.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,554,38,1277,Alone,1,2,1
Graduate,38643.0,1,1,45,22,2,14,0,1,10,2,2,0,3,7,212,36,49,Alone,2,3,1
Graduate,50737.0,0,1,61,78,0,11,0,0,10,1,2,0,4,6,414,59,99,Partner,1,3,1
Postgraduate,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,564,45,1670,Partner,0,2,0
Postgraduate,65073.0,0,0,65,629,17,177,69,0,8,1,5,3,5,2,313,71,900,Partner,0,2,0
Postgraduate,46681.0,0,2,52,269,15,69,15,19,38,2,4,6,4,5,264,66,425,Partner,2,4,1
Graduate,78618.0,0,0,87,736,163,818,212,163,61,1,4,7,10,2,639,57,2153,Partner,0,2,0
Postgraduate,62187.0,0,1,38,512,0,83,0,0,41,3,6,2,10,4,99,45,636,Alone,1,2,1
Graduate,28442.0,2,0,53,19,3,10,11,8,6,3,2,1,4,4,125,36,57,Partner,2,4,1
Postgraduate,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,583,36,25,Partner,1,3,1
Graduate,51479.0,1,1,67,247,8,160,6,8,65,7,6,3,6,7,548,47,494,Partner,2,4,1
Graduate,54803.0,0,1,65,404,0,92,28,27,142,2,6,2,9,4,677,45,693,Alone,1,2,1
Graduate,79530.0,0,0,64,333,0,815,129,42,29,1,4,10,11,2,408,54,1348,Partner,0,2,0
Graduate,31615.0,1,0,82,2,3,20,6,11,9,2,2,0,3,7,470,38,51,Alone,1,2,1
Graduate,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,589,52,1932,Partner,0,2,0
Postgraduate,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,575,39,990,Alone,1,2,1
Undergraduate,35684.0,1,0,66,10,4,7,0,6,3,1,1,0,3,6,68,30,30,Partner,1,3,1
Graduate,48178.0,1,1,69,159,4,45,6,2,38,6,5,1,4,8,609,39,254,Partner,2,4,1
Postgraduate,29548.0,1,0,52,7,1,6,3,1,11,1,1,1,2,4,304,44,29,Alone,1,2,1
Graduate,63810.0,0,1,45,977,12,253,16,12,101,4,4,3,12,8,595,48,1371,Alone,1,2,1
Postgraduate,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,372,42,73,Alone,2,3,1
Postgraduate,46098.0,1,1,86,57,0,27,0,0,36,4,3,2,2,8,680,39,120,Alone,2,3,1
Graduate,22585.0,0,0,23,3,9,15,13,2,39,1,1,1,2,9,468,44,81,Alone,0,1,0
Graduate,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,546,25,37,Alone,1,2,1
Postgraduate,66426.0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,270,53,1377,Partner,1,3,1
Graduate,30822.0,1,0,92,3,9,13,2,12,12,1,1,0,3,7,380,45,51,Alone,1,2,1
Postgraduate,33581.0,2,0,38,11,0,5,0,0,1,1,1,0,2,8,537,45,17,Partner,2,4,1
Graduate,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,227,29,22,Partner,1,3,1
Graduate,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,564,60,324,Alone,0,1,0
Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,676,41,211,Partner,3,5,1
Postgraduate,36143.0,1,0,33,12,0,1,0,0,6,1,0,1,2,3,91,33,19,Alone,1,2,1
Graduate,10245.0,1,0,32,4,7,7,6,4,13,3,1,2,2,5,410,43,41,Alone,1,2,1
Postgraduate,43795.0,0,1,11,314,11,53,4,3,107,3,7,3,4,7,256,46,492,Partner,1,3,1
Graduate,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,632,54,1005,Partner,1,3,1
Graduate,38823.0,0,1,56,70,0,11,2,8,23,1,2,1,3,6,668,65,114,Partner,1,3,1
Postgraduate,83664.0,1,1,57,866,21,151,28,21,86,3,2,2,12,5,417,46,1173,Alone,2,3,1
Graduate,90300.0,0,0,7,594,134,786,33,134,57,0,5,6,8,1,177,35,1738,Partner,0,2,0
Postgraduate,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,202,35,222,Partner,1,3,1
Graduate,74293.0,0,0,66,375,152,335,93,91,81,1,5,4,6,2,56,21,1127,Alone,0,1,0
Postgraduate,51012.0,0,0,86,102,9,63,2,9,24,1,4,1,4,6,437,68,209,Partner,0,2,0
Postgraduate,70777.0,0,1,80,554,35,113,0,7,78,3,5,3,12,3,124,46,787,Partner,1,3,1
Postgraduate,68682.0,0,0,56,919,0,505,99,30,45,1,4,9,10,2,266,23,1598,Partner,0,2,0
Graduate,43824.0,1,1,18,96,1,42,12,3,32,4,3,1,4,8,652,43,186,Partner,2,4,1
Graduate,15345.0,1,0,51,5,2,16,3,2,19,2,1,1,2,8,667,30,47,Partner,1,3,1
Graduate,23442.0,1,0,71,2,0,6,8,6,5,1,1,0,3,7,552,27,27,Alone,1,2,1
Undergraduate,14515.0,1,0,71,6,4,9,6,36,35,4,2,2,3,7,597,34,96,Partner,1,3,1
Undergraduate,31395.0,1,1,80,23,1,25,0,8,7,4,2,1,3,6,463,58,64,Alone,2,3,1
Graduate,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,640,49,1040,Partner,0,2,0
Graduate,42373.0,1,1,83,67,5,61,3,8,19,5,2,1,5,5,318,40,163,Alone,2,3,1
Graduate,30507.0,0,0,29,65,36,74,38,20,110,1,5,1,4,7,475,54,343,Partner,0,2,0
Postgraduate,55521.0,1,2,11,416,0,26,0,0,4,9,6,3,6,7,250,59,446,Alone,3,4,1
Graduate,48006.0,1,1,55,23,0,11,3,2,2,1,1,0,3,6,20,49,41,Partner,2,4,1
Postgraduate,27213.0,1,0,19,19,3,26,10,9,3,3,2,0,4,8,668,42,70,Alone,1,2,1
Postgraduate,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,30,43,272,Alone,2,3,1
Postgraduate,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,388,40,46,Partner,1,3,1
Graduate,50437.0,0,2,28,370,9,92,6,9,4,3,7,1,8,7,620,51,490,Partner,2,4,1
Undergraduate,23616.0,1,0,76,4,22,11,3,7,32,2,3,0,3,8,589,32,79,Alone,1,2,1
Graduate,53858.0,0,1,50,407,53,221,58,150,26,4,4,3,6,4,597,38,915,Partner,1,3,1
Postgraduate,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,456,59,1485,Partner,1,3,1
Graduate,46923.0,1,0,90,85,44,54,102,78,6,3,5,1,7,7,676,27,369,Alone,1,2,1
Graduate,75072.0,0,1,83,583,34,309,0,22,125,2,5,4,8,3,522,52,1073,Partner,1,3,1
Postgraduate,75865.0,0,0,73,483,0,591,156,0,12,1,3,5,10,1,90,71,1242,Partner,0,2,0
Undergraduate,19789.0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,221,39,78,Partner,1,3,1
Graduate,80134.0,0,0,11,966,26,282,52,26,26,1,2,7,11,5,135,20,1378,Partner,0,2,0
Graduate,91065.0,0,0,33,822,114,108,179,137,114,1,7,9,9,3,492,33,1474,Alone,0,1,0
Postgraduate,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,481,43,751,Partner,2,4,1
Postgraduate,37401.0,1,0,14,19,3,19,3,1,3,2,2,0,3,7,54,41,48,Partner,1,3,1
Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,38,31,45,Partner,1,3,1
Postgraduate,18492.0,1,0,75,2,2,2,2,1,1,1,1,0,2,8,24,32,10,Partner,1,3,1
Postgraduate,82584.0,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,390,40,1435,Partner,0,2,0
Postgraduate,93027.0,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,442,73,2119,Partner,0,2,0
Graduate,48686.0,1,2,8,10,0,7,2,0,1,1,1,0,2,8,207,61,20,Partner,3,5,1
Graduate,92910.0,0,0,42,551,137,792,179,103,33,1,6,7,13,1,66,28,1795,Partner,0,2,0
Graduate,75433.0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,85,25,1188,Partner,1,3,1
Undergraduate,10404.0,1,0,52,2,2,11,10,6,12,2,1,0,4,5,56,25,43,Partner,1,3,1
Graduate,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,430,46,1008,Partner,1,3,1
Postgraduate,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,416,53,1688,Alone,0,1,0
Graduate,42387.0,1,0,42,235,0,235,19,4,191,5,8,1,7,8,608,25,684,Partner,1,3,1
Undergraduate,67309.0,1,1,76,515,47,181,149,95,95,15,9,6,9,7,522,47,1082,Partner,2,4,1
Graduate,75236.0,0,1,27,438,66,400,12,38,114,1,8,3,13,4,216,50,1068,Partner,1,3,1
Graduate,30015.0,1,0,28,25,0,22,2,3,5,2,1,0,4,5,147,44,57,Alone,1,2,1
Postgraduate,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,373,58,46,Partner,1,3,1
Graduate,67272.0,0,1,12,357,35,271,28,28,14,3,6,2,12,5,190,48,733,Alone,1,2,1
Postgraduate,51529.0,0,1,14,400,4,35,6,0,22,2,9,1,5,8,295,65,467,Alone,1,2,1
Postgraduate,32011.0,1,0,89,99,0,15,2,1,5,3,2,1,4,7,311,43,122,Partner,1,3,1
Undergraduate,7500.0,1,0,96,1,11,5,4,6,9,2,2,0,3,8,507,28,36,Partner,1,3,1
Graduate,28691.0,1,0,56,5,4,13,8,0,4,1,1,0,3,8,360,25,34,Partner,1,3,1
Postgraduate,56223.0,0,1,72,77,28,31,16,0,4,2,2,1,5,4,191,66,156,Partner,1,3,1
Graduate,18100.0,0,0,14,3,1,2,4,3,1,1,0,0,3,5,327,68,14,Partner,0,2,0
Graduate,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,546,25,37,Alone,1,2,1
Undergraduate,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,104,40,34,Partner,0,2,0
Graduate,23295.0,0,0,72,0,0,1,2,12,5,1,1,0,2,8,351,55,20,Alone,0,1,0
Postgraduate,42618.0,1,0,92,76,14,74,13,5,10,2,5,0,4,8,263,42,192,Alone,1,2,1
Graduate,81246.0,0,0,87,398,190,537,61,156,37,1,4,5,7,1,182,50,1379,Alone,0,1,0
Graduate,24027.0,1,0,7,14,7,11,11,0,5,2,2,0,3,8,385,38,48,Partner,1,3,1
Postgraduate,55707.0,0,1,91,208,7,82,30,66,35,2,3,2,9,3,189,61,428,Partner,1,3,1
Graduate,57959.0,0,1,71,430,16,322,43,24,33,5,4,7,11,3,423,59,868,Alone,1,2,1
Graduate,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,498,45,1001,Partner,1,3,1
Postgraduate,36230.0,1,0,17,14,2,30,8,2,3,1,2,0,4,5,255,43,59,Alone,1,2,1
Undergraduate,70829.0,1,1,87,141,70,106,72,19,23,2,4,2,8,3,210,34,431,Partner,2,4,1
Graduate,65991.0,0,1,21,507,19,364,25,47,9,3,9,5,10,7,660,38,971,Partner,1,3,1
Graduate,38988.0,1,2,90,164,24,103,12,3,42,7,5,1,6,8,678,42,348,Partner,3,5,1
Undergraduate,89572.0,0,0,44,606,24,974,197,194,64,1,7,7,9,4,652,48,2059,Alone,0,1,0
Postgraduate,42207.0,1,0,71,116,11,72,3,17,46,4,4,1,5,6,454,30,265,Partner,1,3,1
Graduate,50300.0,0,1,52,143,15,60,24,23,5,2,2,1,8,2,35,62,270,Partner,1,3,1
Undergraduate,66664.0,0,0,78,398,96,447,220,96,32,1,5,7,6,3,642,32,1289,Partner,0,2,0
Graduate,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,179,50,893,Partner,1,3,1
Graduate,70165.0,0,0,60,161,0,253,199,191,122,1,3,7,11,1,280,65,926,Alone,0,1,0
Postgraduate,50520.0,0,1,25,112,0,6,2,1,14,2,3,1,3,6,152,56,135,Alone,1,2,1
Graduate,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,3,51,1495,Partner,0,2,0
Graduate,33183.0,1,0,46,7,5,39,17,15,37,2,4,0,3,7,125,39,120,Partner,1,3,1
Postgraduate,66582.0,0,0,83,789,25,420,16,38,0,1,2,8,9,1,118,45,1288,Alone,0,1,0
Postgraduate,75261.0,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,432,59,1743,Partner,0,2,0
Graduate,31880.0,1,0,13,4,1,5,2,0,3,1,1,0,2,8,606,44,15,Alone,1,2,1
Graduate,53790.0,0,2,86,335,42,127,28,5,5,3,7,2,8,6,115,63,542,Partner,2,4,1
Postgraduate,49269.0,1,0,92,639,8,166,11,8,58,3,7,3,12,7,683,43,890,Partner,1,3,1
Graduate,61456.0,0,1,47,563,76,384,84,192,89,4,6,10,13,4,459,39,1388,Partner,1,3,1
Graduate,37406.0,1,0,18,2,0,8,2,2,3,1,1,0,2,8,262,34,17,Partner,1,3,1
Postgraduate,56937.0,1,0,81,746,8,125,11,8,8,7,8,6,9,6,694,33,906,Partner,1,3,1
Graduate,38415.0,1,1,91,22,1,13,4,0,4,2,1,0,3,7,543,36,44,Partner,2,4,1
Graduate,20518.0,1,0,58,4,1,6,4,1,9,1,1,1,2,5,42,26,25,Alone,1,2,1
Graduate,62503.0,0,1,40,478,0,193,110,75,117,4,8,3,11,5,496,58,973,Partner,1,3,1
Postgraduate,41644.0,1,1,67,20,3,4,2,0,2,2,1,0,3,3,51,42,31,Alone,2,3,1
Postgraduate,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,37,37,518,Partner,1,3,1
Postgraduate,62010.0,0,1,93,371,22,39,6,0,92,4,6,2,7,5,614,42,530,Partner,1,3,1
Graduate,41124.0,1,0,41,281,7,84,15,0,119,7,7,3,4,8,606,37,506,Partner,1,3,1
Postgraduate,38961.0,1,0,60,19,7,19,0,1,24,1,2,1,2,7,181,41,70,Partner,1,3,1
Postgraduate,37760.0,1,0,54,26,3,13,2,10,0,1,2,0,3,6,322,42,54,Alone,1,2,1
Graduate,32233.0,1,0,26,138,15,35,25,11,72,2,6,2,2,9,679,40,296,Alone,1,2,1
Graduate,43057.0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,242,39,266,Partner,1,3,1
Postgraduate,83151.0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,627,54,747,Partner,0,2,0
Postgraduate,78825.0,0,0,35,483,74,114,169,37,18,1,5,10,13,3,653,50,895,Alone,0,1,0
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,227,38,1053,Partner,1,3,1
Graduate,60093.0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,368,40,735,Partner,1,3,1
Graduate,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,154,45,20,Partner,1,3,1
Undergraduate,28457.0,0,0,96,24,1,108,29,29,14,1,4,1,4,8,609,62,205,Alone,0,1,0
Postgraduate,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,643,56,2092,Partner,1,3,1
Graduate,46310.0,1,0,99,185,2,88,15,5,14,2,6,1,5,8,573,38,309,Alone,1,2,1
Graduate,76005.0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,492,59,1722,Partner,0,2,0
Postgraduate,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,8,533,50,900,Alone,1,2,1
Postgraduate,55614.0,0,0,85,504,13,131,8,0,26,1,9,4,6,7,214,70,682,Alone,0,1,0
Postgraduate,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,442,52,663,Alone,1,2,1
Graduate,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,85,36,43,Alone,1,2,1
Postgraduate,78642.0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,434,43,1816,Partner,1,3,1
Postgraduate,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,38,65,976,Partner,1,3,1
Graduate,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,452,70,746,Partner,0,2,0
Graduate,27203.0,1,1,92,13,2,21,4,0,24,2,1,1,2,8,692,64,64,Partner,2,4,1
Postgraduate,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,226,53,32,Partner,1,3,1
Undergraduate,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,547,24,263,Partner,0,2,0
Postgraduate,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,674,29,1445,Partner,1,3,1
Postgraduate,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,373,58,46,Partner,1,3,1
Graduate,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,599,61,1210,Alone,0,1,0
Graduate,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,209,38,945,Partner,1,3,1
Graduate,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,345,25,1157,Alone,0,1,0
Graduate,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,373,22,137,Partner,0,2,0
Graduate,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,560,55,730,Alone,1,2,1
Postgraduate,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,400,33,216,Partner,1,3,1
Graduate,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,458,35,943,Alone,1,2,1
Graduate,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,252,50,347,Partner,2,4,1
